=~=~=~=~=~=~=~=~=~=~=~=	PuTTY	log	2013.05.27	8:57:05	=~=~=~=~=~=~=~=~=~=~=~=										
UP															
															
Oregon	RFID	Datalogger	Version	'4.04	'										
Datalogger	functions														
	UP	upload	detection	records											
	UH	show	upload	history											
	UT	upload	time	records											
TagTracker	functions														
	EX	export	TagTracker	database											
	IM	import	TagTracker	database											
Reader	configuration														
	DT	set	date	and	time										
	FR	factory	reset	datalogger	and	reader									
	ON	set	automatic	on/off	times										
	CG	change	reader	settings											
	MX	enter	mux	sequence											
	MV	set	minimum	voltage	before	shutdown									
	DM	select	detection	messages	to	display									
	CO	enter	comment	to	log	file									
Performance	monitor														
	SS	show	scans	per	second	and	pulse	timings							
	AD	show	reader	"voltages,"	amperages										
	AV	calibrate	analog	voltage											
	RT	read	board	temperature											
	WR	write	tag	id											
															
>UP															
05/23/2013	9:12:23	00:00.0	R	0000_0000000180573686	A2	1	2706								
05/23/2013	9:27:21	00:00.0	R	0000_0000000180573686	A2	1	2704								
05/23/2013	9:32:42	00:00.0	R	0000_0000000174764544	A3	1	5386								
05/23/2013	9:38:24	00:00.0	R	0000_0000000174764573	A1	1	5567								
05/23/2013	9:42:19	00:00.0	R	0000_0000000180573686	A2	1	2705								
05/23/2013	9:47:37	00:00.0	R	0000_0000000174764544	A3	1	2695								
05/23/2013	10:09:11	00:00.0	R	0000_0000000174764573	A1	1	5566								
05/23/2013	10:12:15	00:00.0	R	0000_0000000180573686	A2	1	5414								
05/23/2013	10:27:13	00:00.0	R	0000_0000000180573686	A2	1	2707								
05/23/2013	10:32:21	00:00.0	R	0000_0000000174764544	A3	1	8091								
05/23/2013	10:47:15	00:00.0	R	0000_0000000174764544	A3	1	2693								
05/23/2013	10:56:12	00:00.0	A	900_226000135086	A3	1	1619								
05/23/2013	10:57:09	00:00.0	R	0000_0000000180573686	A2	1	5413								
05/23/2013	11:02:08	00:00.0	R	0000_0000000174764544	A3	1	1071								
05/23/2013	11:10:46	00:00.0	R	0000_0000000174764573	A1	1	11137								
05/23/2013	11:17:01	00:00.0	R	0000_0000000174764544	A3	1	2691								
05/23/2013	11:31:54	00:00.0	R	0000_0000000174764544	A3	1	2688								
05/23/2013	11:39:20	00:00.0	A	900_226000137633	A3	1	1343								
05/23/2013	11:41:34	00:00.0	R	0000_0000000174764573	A1	1	5569								
05/23/2013	11:42:03	00:00.0	R	0000_0000000180573686	A2	1	8118								
05/23/2013	11:46:46	00:00.0	R	0000_0000000174764544	A3	1	1343								
05/23/2013	12:11:59	00:00.0	R	0000_0000000180573686	A2	1	5411								
05/23/2013	12:12:22	00:00.0	R	0000_0000000174764573	A1	1	5569								
05/23/2013	12:16:30	00:00.0	R	0000_0000000174764544	A3	1	5375								
05/23/2013	12:31:21	00:00.0	R	0000_0000000174764544	A3	1	2686								
05/23/2013	12:33:51	00:00.0	A	900_226000135099	A3	1	449								
05/23/2013	12:33:52	00:00.3	A	900_226000135099	A3	2	4								
05/23/2013	12:33:55	00:00.0	A	900_226000135099	A3	1	6								
05/23/2013	12:41:55	00:00.0	R	0000_0000000180573686	A2	1	5411								
05/23/2013	12:43:11	00:00.0	R	0000_0000000174764573	A1	1	5570								
05/23/2013	13:01:05	00:00.0	R	0000_0000000174764544	A3	1	4911								
05/23/2013	13:14:00	00:00.0	R	0000_0000000174764573	A1	1	5569								
05/23/2013	13:15:58	00:00.0	R	0000_0000000174764544	A3	1	2689								
05/23/2013	13:26:50	00:00.0	R	0000_0000000180573686	A2	1	8118								
05/23/2013	13:41:48	00:00.0	R	0000_0000000180573686	A2	1	2705								
05/23/2013	13:44:48	00:00.0	R	0000_0000000174764573	A1	1	5569								
05/23/2013	13:45:44	00:00.0	R	0000_0000000174764544	A3	1	5380								
05/23/2013	13:56:46	00:00.0	R	0000_0000000180573686	A2	1	2705								
05/23/2013	14:11:44	00:00.0	R	0000_0000000180573686	A2	1	2706								
05/23/2013	14:15:31	00:00.0	R	0000_0000000174764544	A3	1	5385								
05/23/2013	14:15:36	00:00.0	R	0000_0000000174764573	A1	1	5567								
05/23/2013	14:20:52	00:00.0	A	900_226000137633	A3	1	968								
05/23/2013	14:26:42	00:00.0	R	0000_0000000180573686	A2	1	2705								
05/23/2013	14:30:25	00:00.0	R	0000_0000000174764544	A3	1	1724								
05/23/2013	14:46:23	00:00.0	R	0000_0000000174764573	A1	1	5566								
05/23/2013	14:56:38	00:00.0	R	0000_0000000180573686	A2	1	5411								
05/23/2013	15:00:14	00:00.0	R	0000_0000000174764544	A3	1	5390								
05/23/2013	15:11:36	00:00.0	R	0000_0000000180573686	A2	1	2705								
05/23/2013	15:15:08	00:00.0	R	0000_0000000174764544	A3	1	2695								
05/23/2013	15:17:10	00:00.0	R	0000_0000000174764573	A1	1	5565								
05/23/2013	15:26:34	00:00.0	R	0000_0000000180573686	A2	1	2705								
05/23/2013	15:30:03	00:00.0	R	0000_0000000174764544	A3	1	2695								
05/23/2013	15:44:58	00:00.0	R	0000_0000000174764544	A3	1	2696								
